team1,team2,score1,score2,date
Alcorn,Washington St.,67,85,2021-11-09
Manhattanville,Manhattan,42,99,2021-11-09
Mount St. Marys,Villanova,51,91,2021-11-09
Bethune-Cookman,South Fla.,54,75,2021-11-09
UC San Diego,California,80,67,2021-11-09
Bob Jones,Wofford,79,117,2021-11-09
Akron,Ohio St.,66,67,2021-11-09
Mary Baldwin,Winthrop,78,110,2021-11-09
Saint Peters,VCU,54,57,2021-11-09
Southern Ill.,Little Rock,66,69,2021-11-09
St. Marys (MD),Morgan St.,55,118,2021-11-09
Eastern Mich.,Indiana,62,68,2021-11-09
Brescia,Middle Tenn.,59,98,2021-11-09
Central Conn. St.,UConn,48,99,2021-11-09
Emory & Henry,Radford,72,84,2021-11-09
IUPUI,Butler,47,56,2021-11-09
Siena,St. Bonaventure,47,75,2021-11-09
Oakland,West Virginia,53,60,2021-11-09
Regis (MA),Holy Cross,51,98,2021-11-09
Rutgers-Camden,Princeton,28,94,2021-11-09
Fairfield,Providence,73,80,2021-11-09
Rivier,UMass Lowell,55,91,2021-11-09
N.C. Central,Richmond,60,70,2021-11-09
N.C. A&T,UNC Greensboro,53,57,2021-11-09
Lake Erie,Wright St.,53,86,2021-11-09
South Carolina St.,East Carolina,62,70,2021-11-09
Salve Regina,Brown,59,89,2021-11-09
UIC,Dayton,54,64,2021-11-09
Vassar,Yale,42,88,2021-11-09
Hartford,Wagner,59,77,2021-11-09
Georgetown (KY),Eastern Ky.,63,93,2021-11-09
Cairn,Delaware St.,41,80,2021-11-09
Presbyterian,Clemson,53,64,2021-11-09
Mid-Atlantic Christ.,Hampton,51,101,2021-11-09
SUNY New Paltz,Army West Point,52,83,2021-11-09
North Greenville,Furman,66,118,2021-11-09
App State,Iona,53,65,2021-11-09
Monmouth,Charlotte,66,68,2021-11-09
The Citadel,Pittsburgh,78,63,2021-11-09
Bellarmine,Purdue,67,96,2021-11-09
St. Josephs (ME),New Hampshire,53,98,2021-11-09
Evansville,Cincinnati,43,65,2021-11-09
Trinity Baptist,Jacksonville,43,79,2021-11-09
Emerson,Merrimack,48,77,2021-11-09
Loyola Maryland,North Carolina,67,83,2021-11-09
Ball St.,Ga. Southern,71,82,2021-11-09
Towson,Albany (NY),77,56,2021-11-09
Boston U.,Rhode Island,62,71,2021-11-09
Lafayette,Syracuse,63,97,2021-11-09
Northeastern,Colgate,58,65,2021-11-09
FIU,Georgia,51,58,2021-11-09
Belmont,Ohio,80,92,2021-11-09
Delaware,Davidson,71,93,2021-11-09
USC Upstate,South Carolina,60,78,2021-11-09
Wheeling,Northern Ky.,54,82,2021-11-09
Kansas,Michigan St.,87,74,2021-11-09
Brewton-Parker,Georgia St.,37,97,2021-11-09
Rider,Duquesne,61,73,2021-11-09
Quinnipiac,Maryland,69,83,2021-11-09
Texas Southern,Oregon,66,83,2021-11-09
Carlow,VMI,55,111,2021-11-09
Morehouse,Harvard,70,86,2021-11-09
JWU (Charlotte),Charleston So.,71,118,2021-11-09
UT Martin,Tennessee,62,90,2021-11-09
Toledo,Valparaiso,69,61,2021-11-09
Dist. Columbia,Howard,59,87,2021-11-09
Portland,Arizona St.,60,76,2021-11-09
Stony Brook,George Mason,52,74,2021-11-09
Fla. Memorial,Stetson,67,74,2021-11-09
Bowling Green,Western Caro.,71,79,2021-11-09
Canisius,Miami (FL),67,77,2021-11-09
Miami (OH),Georgia Tech,72,69,2021-11-09
New Orleans,Ole Miss,61,82,2021-11-09
William Peace,Campbell,50,85,2021-11-09
Earlham,Purdue Fort Wayne,54,103,2021-11-09
Niagara,Xavier,60,63,2021-11-09
Fla. National,FGCU,57,94,2021-11-09
Cornell,Binghamton,76,69,2021-11-09
Texas St.,UIW,75,57,2021-11-09
UNC Asheville,UAB,77,102,2021-11-09
Fisher,Bryant,54,122,2021-11-09
LSU-Alexandria,SFA,73,82,2021-11-09
UMBC,Massachusetts,60,77,2021-11-09
Ferrum,Coastal Carolina,73,101,2021-11-09
Mississippi Val.,St. Johns (NY),61,119,2021-11-09
Bucknell,NC State,70,88,2021-11-09
Sacred Heart,La Salle,86,81,2021-11-09
Marist,American,73,77,2021-11-09
Neumann,Drexel,74,103,2021-11-09
Indiana St.,Green Bay,81,77,2021-11-09
Birmingham-So.,Lipscomb,98,105,2021-11-09
Milwaukee,North Dakota,75,60,2021-11-09
Southeastern La.,Tulane,67,70,2021-11-09
ULM,LSU,39,101,2021-11-09
Bridgewater (VA),Norfolk St.,56,79,2021-11-09
McNeese,SMU,62,86,2021-11-09
Shenandoah,High Point,59,108,2021-11-09
Mercer,Arkansas,61,74,2021-11-09
Coe,Drake,61,87,2021-11-09
Maryville (TN),Samford,78,99,2021-11-09
Maryville (TN),Samford,78,99,2021-11-09
St. Francis Brooklyn,Wisconsin,58,81,2021-11-09
Dartmouth,Boston College,57,73,2021-11-09
Pepperdine,Rice,63,82,2021-11-09
Coppin St.,Loyola Chicago,45,103,2021-11-09
Saint Francis (PA),George Washington,72,75,2021-11-09
